Date,close,RSI14,RSI50,STOCH14K,STOCH14D,longOutput,shortOutput
2016/4/5,109.81,67.7640994,53.71469608,83.62587415,87.51749974,1,0
2016/4/6,110.96,70.33380328,54.55130461,79.67606964,84.00753924,0,1
2016/4/7,108.54,59.57194514,52.51314295,67.30878153,76.87024178,1,0
2016/4/8,108.66,59.89960436,52.60274676,61.65070679,69.54518599,1,0
2016/4/11,109.02,60.92282348,52.87495421,52.80437756,60.5879553,1,0
2016/4/12,110.44,64.74421002,53.93966987,61.46830825,58.64113087,1,0
2016/4/13,112.04,68.48398455,55.10588018,76.22449691,63.49906091,1,0
2016/4/14,112.1,68.61841751,55.1493336,89.39240861,75.69507126,0,1
2016/4/15,109.85,58.53503408,53.17969958,86.09848769,83.90513107,0,1
2016/4/18,107.48,50.17177482,51.2137534,57.40838922,77.63309517,0,1
2016/4/19,106.91,48.38137875,50.75329498,29.04188223,57.51625305,1,0
2016/4/20,107.13,49.13583503,50.9270621,12.61695047,33.02240731,0,1
2016/4/21,105.97,45.37035899,49.97824891,11.49760429,17.71881233,0,1
2016/4/22,105.68,44.4531904,49.74183782,12.36535516,12.15996997,0,1
2016/4/25,105.08,42.53724025,49.2500019,9.141978174,11.00164587,0,1
2016/4/26,104.35,40.26345918,48.65275841,8.688131809,10.06515505,0,1
2016/4/27,97.82,26.57764088,43.80407401,8.409628119,8.746579367,0,1
2016/4/28,94.83,22.76241155,41.8551398,7.064245244,8.054001724,0,1
2016/4/29,93.74,21.54803894,41.17369335,7.397059741,7.623644368,0,1
2016/5/2,93.64,21.43505506,41.11103359,5.1958594,6.552388129,1,0
2016/5/3,95.18,27.72041008,42.48644861,8.765725921,7.119548354,0,1
2016/5/4,94.19,26.26565972,41.84533459,9.701676634,7.887753985,0,1
2016/5/5,93.24,24.91447816,41.23604441,9.325819017,9.264407191,0,1
2016/5/6,92.72,24.18120177,40.90339242,6.475882144,8.501125932,1,0
2016/5/9,92.79,24.50332578,40.96880531,5.406949633,7.069550265,1,0
2016/5/10,93.42,27.48923031,41.56283255,7.185486927,6.356106235,0,1
2016/5/11,92.51,25.89604234,40.95538254,6.90353204,6.4986562,0,1
2016/5/12,90.34,22.54111674,39.5489071,6.766475811,6.951831592,1,0
2016/5/13,90.52,23.4272947,39.7241141,5.507087404,6.392365085,1,0
2016/5/16,93.88,37.7450532,42.87762448,19.91241891,10.72866071,0,1
2016/5/17,93.49,36.88299374,42.61356741,34.0534953,19.82433387,1,0
